date,time(local time),altitude (m),longitude,latitude,tilt (deg),roll (deg),compass (deg),gyro-x (deg/s),gyro-y (deg/sec),gyro-z (deg/s),pressure (hPa),speed (m/s),acceleration (m/s)
21/11/2018,11:45.0,116,-75.69393021,45.38902421,-6.2995,-134.7856,73.8427,180.313049,71.513046,71.86087,983.3049,8.421383,-0.25722
21/11/2018,11:46.0,116,-75.69392258,45.38910432,4.1171,-44.8523,72.6195,241.669571,318.052185,146.852173,983.3536,8.195029,-0.226354
21/11/2018,11:47.0,115.8999939,-75.69392258,45.3891768,-48.1701,38.8184,70.7908,-171.895645,350.817383,245.773911,983.3161,7.860643,-0.334386
21/11/2018,11:48.0,115.699997,-75.69393784,45.38924547,7.6449,-44.493,68.57,107.617393,78.400002,11.617392,983.3206,7.351348,-0.509295
21/11/2018,11:49.0,115.6000061,-75.69396073,45.38931031,-15.2299,38.469,68.4446,259.060883,344.973907,127.373917,983.3206,6.754597,-0.59675
21/11/2018,11:50.0,115.6000061,-75.69398362,45.38936754,-10.6927,64.7872,69.4068,-173.356522,201.252167,141.147827,983.3427,6.250446,-0.504151
21/11/2018,11:51.0,115.5,-75.69401414,45.38941331,-24.1937,40.2128,70.3821,146.852173,-362.782623,211.478256,983.3416,5.756583,-0.493862
21/11/2018,11:52.0,115.3999939,-75.69405991,45.38945527,-15.8857,46.9293,71.6278,-59.686958,329.043488,217.252167,983.3369,5.35532,-0.401263
21/11/2018,11:53.0,115.3999939,-75.69409806,45.38948961,-8.9128,-21.0084,74.4275,-241.669571,-609.530457,-8.139131,983.3369,4.93348,-0.421841
21/11/2018,11:54.0,115.3999939,-75.69414384,45.38952012,1.2671,45.042,77.1523,227.686951,191.721741,3.2,983.3369,4.557938,-0.375541
21/11/2018,11:55.0,115.5,-75.69419724,45.38953538,-55.1883,33.5122,83.9041,70.260872,265.669556,165.078262,983.3536,4.321296,-0.236642
21/11/2018,11:56.0,115.5,-75.69425065,45.38954301,-10.454,-47.4872,91.2386,337.947815,197.495651,97.460869,983.3321,4.172108,-0.149188
21/11/2018,11:57.0,115.6000061,-75.69430405,45.38955446,-28.3325,50.0431,103.3328,-102.260872,-491.96521,-86.121742,983.3321,4.166964,-0.005144
21/11/2018,11:58.0,115.6000061,-75.69435746,45.38955446,6.3448,30.3758,112.9436,-157.217392,-196.939133,-146.991302,983.3321,4.130953,-0.036011
21/11/2018,11:59.0,115.699997,-75.69441086,45.38954301,-30.0252,45.69,120.8112,-29.008696,-84.869568,23.304348,983.3321,4.105231,-0.025722
21/11/2018,12:00.0,115.699997,-75.69446427,45.38953538,3.4872,-113.9114,129.0412,255.373917,4.104348,-23.513044,983.2857,4.120665,0.015433
21/11/2018,12:01.0,115.6000061,-75.69450242,45.38952012,-22.6764,-31.4015,135,159.791306,-204.521744,-4.452174,983.332,4.017776,-0.102888
21/11/2018,12:02.0,115.5,-75.69454819,45.38949724,-15.1956,-127.5754,133.8171,-34.29565,194.08696,54.678261,983.2869,4.038354,0.020578
21/11/2018,12:03.0,115.3999939,-75.69458634,45.3894629,-9.9673,-44.1416,133.0694,-79.443481,164.03479,200,983.2869,4.187542,0.149188
21/11/2018,12:04.0,115.3000031,-75.69460923,45.38943239,-16.6677,65.0255,135.7892,46.400002,-412.10434,-33.391304,983.2869,4.496205,0.308664
21/11/2018,12:05.0,115.199997,-75.69464738,45.38939042,-40.6442,139.3557,137.5819,160.765213,189.286957,144.347824,983.3043,4.799725,0.30352
21/11/2018,12:06.0,115,-75.69467026,45.38934083,63.4591,-156.9818,140.8752,-70.121742,136.278259,-4.66087,983.3391,5.087812,0.288087
21/11/2018,12:07.0,115,-75.69468552,45.38929124,-37.9424,132.6468,141.7269,-143.443481,272.904358,121.113045,983.3515,5.381042,0.293231
21/11/2018,12:08.0,114.8999939,-75.69470078,45.38924547,32.3561,-56.3283,141.6521,52.799999,-369.739136,-40.765217,983.3515,5.74115,0.360108
21/11/2018,12:09.0,114.8000031,-75.69470841,45.38919587,-23.6844,51.4454,142.3396,-218.852173,-240.208694,-77.426086,983.3728,6.060103,0.318953
21/11/2018,12:10.0,114.699997,-75.69472367,45.38913865,-15.0051,52.5389,142.696,60.52174,-22.26087,5.913043,983.3776,6.307035,0.246931
21/11/2018,12:11.0,114.699997,-75.69472367,45.38908143,-5.6553,-55.6399,141.154,153.600006,-162.156525,-117.147827,983.35,6.404778,0.097743
21/11/2018,12:12.0,114.6000061,-75.6947313,45.38902421,5.6996,-153.3321,143.2613,207.582611,-190.399994,2.504348,983.35,6.435645,0.030867
21/11/2018,12:13.0,114.5,-75.6947313,45.38895936,12.6117,69.9551,140.4561,-136.486954,-269.704346,-59.895653,984.6,6.775175,0.33953
21/11/2018,12:14.0,114.3999939,-75.6947313,45.38889451,-10.086,-22.3297,137.8321,-176,-442.086945,-109.704346,984.6,7.068405,0.293231
21/11/2018,12:15.0,114.3999939,-75.69471604,45.38882966,23.8167,-61.9058,137.9834,-257.947815,-113.04348,118.608696,983.3464,7.41308,0.344675
21/11/2018,12:16.0,114.3000031,-75.69470078,45.38876481,-0.5841,29.7432,136.6212,-94.330437,298.713043,14.191304,983.3464,7.912087,0.499007
21/11/2018,12:17.0,114.199997,-75.69467026,45.38868852,-22.4527,40.0181,134.2108,196.800003,-279.095642,217.460876,983.3464,8.508838,0.596751
21/11/2018,12:18.0,114.1000061,-75.69462449,45.38861604,15.4156,-45.029,131.8278,59.33913,137.043472,177.321732,983.3464,8.894668,0.38583
21/11/2018,12:19.0,114.1000061,-75.69457108,45.38854356,-17.3909,-167.7536,126.8163,330.991302,225.878265,70.330437,984.141,9.105588,0.21092
21/11/2018,12:20.0,114.199997,-75.69449479,45.38847871,17.7821,42.3752,123.3697,87.443481,210.017395,91.826088,984.101,9.13131,0.025722
21/11/2018,12:21.0,114.199997,-75.69441849,45.38842149,-48.7225,-138.767,118.2954,182.817398,86.260872,219.96521,984.101,9.157032,0.025722
21/11/2018,12:22.0,114.3000031,-75.69431931,45.3883719,8.3225,52.5835,113.8615,486.052185,126.400002,152.695648,984.446,9.141599,-0.015433
21/11/2018,12:23.0,114.5,-75.6942125,45.38834138,42.887,-4.5692,108.2466,236.243484,-107.965218,126.260872,984.917,9.028422,-0.113177
21/11/2018,12:24.0,114.6000061,-75.69409806,45.38832231,-31.3297,-151.4474,103.0542,-210.156525,-16.973913,96.973915,984.917,8.997555,-0.030866
21/11/2018,12:25.0,114.8000031,-75.69397599,45.38832231,28.7375,-3.9098,97.0111,-75.826088,-121.530434,36.869564,984.1004,9.018134,0.020578
21/11/2018,12:26.0,115,-75.69386155,45.38834138,-5.4039,18.0252,92.4701,-208.973907,223.652176,201.808701,984.64,9.0027,-0.015434
21/11/2018,12:27.0,115.199997,-75.69375474,45.3883719,-1.0461,-111.1073,86.3292,263.513031,-99.060867,56.417393,984.847,8.838079,-0.164621
21/11/2018,12:28.0,115.3000031,-75.69367081,45.38842149,68.4718,-4.8007,81.9432,59.130436,225.808701,82.921738,984.155,8.596292,-0.241787
21/11/2018,12:29.0,115.5,-75.69359452,45.38847871,17.7821,42.3752,76.9839,395.408691,181.286957,116.243477,983.3765,8.195029,-0.401263
21/11/2018,12:30.0,115.6000061,-75.69353348,45.38853593,-21.8459,41.0691,72.6925,339.408691,58.226086,179.895645,983.3829,7.675445,-0.519585
21/11/2018,12:31.0,115.699997,-75.69348771,45.38859315,-18.084,-124.7278,70.7466,-275.478271,-27.060869,125.147827,983.3675,7.006673,-0.668772
21/11/2018,12:32.0,115.6000061,-75.69346482,45.38865037,-19.8478,69.9929,68.9834,-11.686956,-397.495667,-43.060871,983.3675,6.21958,-0.787093
21/11/2018,12:33.0,115.699997,-75.69344956,45.38870759,17.1393,-72.3821,69.2707,-33.878262,15.652174,29.286957,983.3433,5.453064,-0.766515
